ProductID,ProductName,AvailableQuantity,MRP,SalePrice,Category,Subcategory,Brand,After Discount,% discount
3232558,Tiger Shape Suction Hooks (Color & Character May Vary),1,175,175,Nursery,Storage & Organization,Fab N Funky,91,47
10792047,Babyhug Rapid Bicycle With Bell Blue Black - 14 inches,1,6995,6995,Baby Gear,Tricycles & Bikes,Babyhug,5875,16
14027400,Babyhug Velvet Lion Embroidered Lightweingt Bubble Blanket - Blue,1,899,899,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,611,32
19212854,Babyhug Disney Premium Cotton Crib Bedding Set   Cool Mickey Theme Print Pack of 5 - Red And White,1,6599,6599,Nursery,Baby Bedding Sets & Pillows,Babyhug Disney,0,0
3290387,Babyhug Montana Wooden Cot Cum Rocker with Mosquito Net - Natural| Wheels with Lock| Storage Space| Adjustable Height| Openable Side Rail| Foldable Headboard| Attach to Parent Bed| Convert to Study Table,1,12995,12995,Nursery,Baby Furniture,Babyhug,9356,28
14249906,Babyhug Velour Sleeping Bag Unicorn Print - Pink,1,1099,1099,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,771,29
14699618,R for Rabbit Cocoon The Smart Auto Swing  Adjustable Rocking Chair with Music  Hanging Toys  Mosquito Net  Electric Baby Bouncer seat for Newborn Baby  Infant (Grey Multi),1,13491,13491,Baby Gear,Bouncers  Rockers & Swings,R for Rabbit,10160,24
1217656,Babyhug Set Of 6 Hangers - Multicolor,1,225,225,Nursery,Storage & Organization,Babyhug,153,31
11569958,Babyhug Cot Bumpers Panda Print - Blue| Protective Padding| Soft and Comfortable| Washable| Easy to Assemble| Compact Folding for Storage| Prevents Bumping into Crib Sides,1,1595,1595,Nursery,Baby Bedding Sets & Pillows,Babyhug,1148,28
9160295,Babyhug Premium 100% Cotton Embroidered Quilt In Princess Castle Theme - Multicolor,1,2095,2095,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,1602,23
9745339,Tinycare Baby Towel With Teddy Print - Orange White,1,284,284,Nursery,Blankets  Wrappers & Sleeping Bags,Tinycare,0,0
13050268,Babyhug Battery Operated Small Ride On Car with Scissor Doors Music & Light - Yellow| Openable Wing Doors| Wide Comfortable Seat| Pre-loaded Music with USB & AUX| Easy to Assemble| Easy to Operate| Forward & Reverse Drive| Rechargeable Battery,1,12995,12995,Baby Gear,Ride-ons & Scooters,Babyhug,0,0
2414160,Babyhug Cruise Convertible Reclining Car Seat With Side Impact Protection - Black,1,8995,8995,Baby Gear,Baby Car Seats,Babyhug,5666,37
3036145,Babyhug Sleeping Bag Cars Print - Red,1,895,895,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,653,27
3086646,Babyhug Amber Car Seat Cum Carry Cot With Rocking Base with 1 Year Warranty - Black Blue,1,4795,4795,Baby Gear,Baby Car Seats,Babyhug,2972,38
3258517,Babyhug Premium Cotton Crib Bumper Large - Princess Theme (Cot not Included),1,2795,2795,Nursery,Baby Bedding Sets & Pillows,Babyhug,1911,31
19212865,Babyhug Disney Premium Cotton Quilt For Babies Minnie Mouse & Me Theme - Pink,1,2299,2299,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug Disney,0,0
13083631,R for Rabbit Tiny Toes T30 Ace Tricycles for Kids with Premium EVA Wheels  Canopy  Adjustable Parental Control & Storage Basket | Baby Trike Cycle for 1.5 to 5 Years  Upto 25 Kg Boy & Girl (Black),1,6183,6183,Baby Gear,Tricycles & Bikes,R for Rabbit,4869,21
725281,Babyhug Love Teddy Print Bassinet with Swing Lock Function and Detachable Inner Storage Basket  Blue| Storage Basket| Wheels with Lock| Mosquito Net,1,7995,7995,Nursery,Baby Furniture,Babyhug,5196,35
12796056,R for Rabbit Iya Iya Ace Kids Swing Car  Scratch Free PU Wheels  Ride on Magic Toys Car for Kids  Magic Twister Car for 3+ Years Boys & Girls  50 Kgs Weight Capacity (Green),1,3393,3393,Baby Gear,Ride-ons & Scooters,R for Rabbit,2562,24
124733,Babyhug Portable Baby Mosquito Net Small  - Yellow,1,745,745,Nursery,Mosquito Nets,Babyhug,506,32
18305329,NEW COMER 3 in 1 Baby Bed Sleeping Bag & Carry Nest Infant Portable Bassinet for Baby Carrying-white,1,779,779,Nursery,Blankets  Wrappers & Sleeping Bags,NEW COMERS,654,16
3231570,Multi- Functional Wall Hook (Color & Character May Vary),1,275,275,Nursery,Storage & Organization,Fab N Funky,129,53
2580433,Babyhug Melody Stroller With Reversible Handle & Canopy -  Grey,1,8495,8495,Baby Gear,Baby Strollers & Prams,Babyhug,5436,36
